NOM_COM;cadastre;expl
Saint-Benoît;CL 0366;Payet
Saint-Benoît;CL 0199;Payet
Saint-Benoît;CL 0725;Payet
Saint-Benoît;BH 0185;Payet
Saint-Benoît;CL 0438;Payet
Saint-Benoît;BD 0047;Payet
Saint-Benoît;BP 0108;Hoareau
Saint-Benoît;BP 0018;Hoareau
Saint-Benoît;BI 0091;Hoareau
Saint-Benoît;BR 0092;Hoareau
Saint-Benoît;BD 0477;Hoareau
Saint-Benoît;CK 0197;Rivière
Saint-Benoît;CK 0165;Rivière
Saint-Benoît;BI 0211;Rivière
Saint-Benoît;BI 0375;Rivière
Saint-Benoît;BI 0134;Rivière
Saint-Benoît;BI 0135;Rivière
Saint-Benoît;BI 0136;Rivière
